time,B
"17,6200544444444","-0,6"
"17,6200630555556","-0,55"
"17,6200716666667","-0,6"
"17,6200805555556","-0,76"
"17,6200891666667","-1,04"
"17,6200977777778","-1,15"
"17,6201063888889","-1,31"
"17,6201152777778","-1,33"
"17,6201238888889","-1,38"
"17,6201325","-1,24"
"17,6201411111111","-0,93"
"17,62015","-0,58"
"17,6201586111111","-0,09"
"17,6201672222222",0
"17,6201758333333","-0,28"
"17,6201847222222","-0,48"
"17,6201933333333","-0,63"
"17,6202019444444","-0,81"
"17,6202105555556","-0,68"
"17,6202194444444","-0,66"
"17,6202280555556","-0,66"
"17,6202366666667","-0,72"
"17,6202452777778","-0,61"
"17,6202541666667","-0,59"
"17,6202627777778","-0,77"
"17,6202713888889","-0,95"
"17,62028","-1,07"
"17,6202888888889","-0,99"
"17,6202975","-0,98"
"17,6203061111111","-0,89"
"17,6203147222222","-0,86"
"17,6203236111111","-0,83"
"17,6203322222222","-0,79"
"17,6203408333333","-0,71"
"17,6203494444444","-0,63"
"17,6203583333333","-0,28"
"17,6203669444444","-0,29"
"17,6203755555556","-0,7"
"17,6203841666667","-1,11"
"17,6203930555556","-1,35"
"17,6204016666667","-1,58"
"17,6204102777778","-1,62"
"17,6204188888889","-1,69"
"17,6204277777778","-1,5"
"17,6204363888889","-1,47"
"17,620445","-1,27"
"17,6204536111111",-1
"17,6204625","-1,01"
"17,6204711111111","-1,09"
"17,6204797222222","-1,29"
"17,6204883333333","-1,49"
"17,6204972222222","-1,6"
"17,6205058333333","-1,61"
"17,6205144444444","-1,56"
"17,6205230555556","-1,36"
"17,6205319444444","-1,37"
"17,6205405555556","-1,28"
"17,6205491666667","-1,21"
"17,6205577777778","-1,33"
"17,6205666666667","-1,56"
"17,6205752777778","-1,72"
"17,6205838888889","-1,86"
"17,6205925","-1,78"
"17,6206013888889","-1,68"
"17,62061","-1,39"
"17,6206186111111","-1,01"
"17,6206272222222","-0,67"
"17,6206361111111","-0,7"
"17,6206447222222","-0,7"
"17,6206533333333","-0,82"
"17,6206619444444","-0,79"
"17,6206708333333","-0,97"
"17,6206794444444","-0,99"
"17,6206880555556","-1,05"
"17,6206966666667","-0,97"
"17,6207055555556","-1,03"
"17,6207141666667","-0,94"
"17,6207227777778","-0,99"
"17,6207313888889","-1,15"
"17,6207402777778","-1,22"
"17,6207488888889","-1,25"
"17,6207575","-1,21"
"17,6207661111111","-1,14"
"17,620775","-1,24"
"17,6207836111111","-1,31"
"17,6207922222222","-1,27"
"17,6208008333333","-1,15"
"17,6208097222222","-1,14"
"17,6208183333333","-0,92"
"17,6208269444444","-0,91"
"17,6208355555556","-0,86"
"17,6208444444444","-0,78"
"17,6208530555556","-0,84"
"17,6208616666667","-0,97"
"17,6208702777778","-1,04"
"17,6208791666667","-1,21"
"17,6208877777778","-1,27"
"17,6208963888889","-1,38"
"17,620905","-1,42"
"17,6209138888889","-1,46"
"17,6209225","-1,3"
"17,6209311111111","-1,34"
"17,6209397222222","-1,24"
"17,6209486111111","-1,09"
"17,6209572222222","-0,83"
"17,6209658333333","-0,66"
"17,6209744444444","-0,8"
"17,6209833333333","-0,68"
"17,6209919444444","-0,57"
"17,6210005555556","-0,58"
"17,6210091666667","-0,54"
"17,6210180555556","-0,63"
"17,6210266666667","-0,65"
"17,6210352777778","-0,69"
"17,6210438888889","-0,74"
"17,6210527777778","-0,85"
"17,6210613888889","-0,96"
"17,62107","-0,83"
"17,6210786111111","-0,81"
"17,6210875","-0,88"
"17,6210961111111","-1,07"
"17,6211047222222","-1,28"
"17,6211133333333","-1,32"
"17,6211222222222","-1,33"
"17,6211308333333","-1,32"
"17,6211394444444","-1,23"
"17,6211480555556","-1,18"
"17,6211569444444","-1,04"
"17,6211655555556","-1,09"
"17,6211741666667","-1,05"
"17,6211827777778","-1,01"
"17,6211916666667","-0,97"
"17,6212002777778","-0,88"
"17,6212088888889","-0,93"
"17,6212175","-0,83"
"17,6212263888889","-0,85"
"17,621235","-0,77"
"17,6212436111111","-0,63"
"17,6212522222222","-0,74"
"17,6212611111111","-0,65"
"17,6212697222222","-0,54"
"17,6212783333333","-0,53"
"17,6212869444444","-0,42"
"17,6212958333333","-0,61"
"17,6213044444444","-0,69"
"17,6213130555556","-0,85"
"17,6213216666667","-1,05"
"17,6213305555556","-1,1"
"17,6213391666667","-1,22"
"17,6213477777778","-1,29"
"17,6213563888889","-1,29"
"17,6213652777778","-1,11"
"17,6213738888889","-1,18"
"17,6213825","-1,02"
"17,6213911111111","-0,63"
"17,6214","-0,66"
"17,6214086111111","-1,19"
"17,6214172222222","-1,8"
"17,6214258333333","-2,03"
"17,6214347222222","-2,1"
"17,6214433333333","-1,83"
"17,6214519444444","-1,46"
"17,6214605555556","-1,16"
"17,6214694444444","-0,77"
"17,6214780555556","-0,6"
"17,6214866666667","-0,48"
"17,6214952777778","-0,52"
"17,6215041666667","-0,58"
"17,6215127777778","-0,66"
"17,6215213888889","-0,67"
"17,62153","-1,05"
"17,6215388888889","-1,17"
"17,6215475","-1,3"
"17,6215561111111","-1,24"
"17,6215647222222","-1,24"
"17,6215736111111","-1,11"
"17,6215822222222","-1,12"
"17,6215908333333","-1,15"
"17,6215994444444","-1,34"
"17,6216083333333","-1,49"
"17,6216169444444","-1,5"
"17,6216255555556","-1,56"
"17,6216341666667","-1,38"
"17,6216430555556","-1,25"
"17,6216516666667","-1,16"
